event_type,release_note_date,admin_interest,security_interest,event_type_description,event_type_tags
system.feature.ea_auto_enroll,2019.03.1,1,0,Fired when an org has subscribed to or unsubscribed from EA Feature Auto Enroll. This can be used to understand the status of EA Feature Auto Enroll subscription and identify who has made changes to the subscription. When fired this event contains information about the status of EA Feature Auto enroll subscription as well as the admin who made any subscription changes.,"admin,self-service-feature-management,system"
security.voice.remove_country_blacklist,2019.03.3,1,1,Fired when a country has been removed from the voice call blacklist. This can be used to identify when a country has been removed from voice call blacklist. When fired this event contains information about the country that was removed from the blacklist.Related events include security.voice.add_country_blacklist.,"security,voice"
security.voice.add_country_blacklist,2019.03.3,1,1,Fired when a country has been added to the voice call blacklist. This can be used to identify when a country has been blacklisted for voice call. When fired this event contains information about the country that was added to the blacklist.Related events include security.voice.remove_country_blacklist.,"security,voice"
event_hook.created,2019.03.4,1,1,Triggered when an event hook has been created. Used to notify admins that an event hook has been created. When triggered this events contains information about the created event hook.,event-hook
event_hook.deactivated,2019.03.4,1,0,Triggered when an event hook has been deactivated. Used to notify admins that an event hook has been deactivated. When triggered this events contains information about the deactivated event hook.,event-hook
event_hook.deleted,2019.03.4,1,1,Triggered when an event hook has been deleted. Used to notify admins that an event hook has been deleted. When triggered this events contains information about the deleted event hook.,event-hook
event_hook.verified,2019.03.4,1,0,Triggered when attempting to verify an event hook. Used to notify admins about the outcome of event hook endpoint URL verification. Note that the event is fired even when the verification is unsuccessful.,event-hook
event_hook.updated,2019.03.4,1,0,Triggered when an event hook has been updated. Used to notify admins that an event hook has been updated. When triggered this events contains information about the updated event hook.,event-hook
event_hook.activated,2019.03.4,1,0,Triggered when an event hook has been activated. Used to notify admins that an event hook has been activated. When triggered this events contains information about the activated event hook.,event-hook
event_hook.delivery,2019.04.0,0,0,Triggered when an event hook delivery fails. Used to identify when an event hook from Okta is not successfully delivered to the configured endpoint. Note that the event is triggered only when the delivery is unsuccessful.,event-hook
directory.non_default_user_profile.create,2019.04.2,1,0,Create non-default universal directory user profile. This can be used to audit that a new non-default universal directory user profile has been created. When fired this event contains the name and id of the newly created user profile.,"cvd,directory"
app.oauth2.client_id_rate_limit_warning,2019.04.2,1,0,"Fired when requests from a single client id has consumed majority of an org's rate limit on the OAuth2 endpoint. This event can be used by admins to discover and deactivate a rogue client. The admin is able to manage the client via the Syslog UI. When fired this event contains information about the responsible client id. As of release this event is fired when a single client id consumes 90% of an org's OAuth2 rate limit; this threshold is subject to change.","oauth2,oauth2-client"
user.account.lock.limit,2019.05.0,0,0,This event is fired when a user account has reached the lockout limit. The account will not auto-unlock and a user or client cannot gain access to the account. This event indicates an account that will not be able to log in until remedial action is taken by the account admin. This event can be used to understand the specifics of an account lockout. Often this indicates a client application that is repeatedly attempting to authenticate with invalid credentials such as an old password.,"account,user"
system.iwa_agentless_kerberos.update,2019.05.4,1,0,Fires when a Kerberos realm settings is updated by an admin. This event fires when the update is successful or fails. This can be used to audit Kerberos realm setting and troubleshoot why Kerberos authentication failed. When fired this event indicates whether Kerberos realm setting update has been successful or failed. This event also indicates the initiator of the event and the current setting for Kerberos Realm. Related events: none all debugging context is included in this event.,"iwa,system"
system.iwa_agentless.redirect,2019.05.4,0,0,Fired when an Agentless DSSO authentication request is redirected to an onprem IWA authentication or the default login page. This can be used to identify when an agentless authentication request resulted in a redirect to an onprem IWA or default login page. This can also be used to identify the potential cause of the redirect. When fired this event identifies the cause of the redirection. When a custom error page is defined a redirect event is not always generated when a redirection occurs.,"iwa,system"
system.email.challenge_factor_redeemed,2019.07.0,0,0,This event indicates that a user completed an email factor challenge. This can be used to identify when a credential sent in an email to a user has been redeemed (the link was clicked or the code was entered). When fired this event contains information about the result. Success if successful or error reasons should be present for failure cases (e.g. incorrect code timeout expired etc.). The event also contains a debugData with the action (the link was clicked or the code was entered).,email
system.email.send_factor_verify_message,2019.07.0,0,0,An email was sent to a user for verification. Used to notify admins that an email was sent to a user for verification. When fired this event contains information about the token lifetime in the debugData.,email
security.threat.configuration.update,2019.07.0,1,1,Fired when a ThreatInsight configuration has been updated. This can be used to identify when an existing ThreatInsight configuration has been updated. An update can be updating the action or the excluded zones. When fired this event contains information about who made the update to the configuration.,threat-insight-configuration
system.iwa_agentless.user.not_found,2019.08.0,0,0,Fired when a user could not be found during Agentless DSSO authentication resulting in an authentication failure. This can be used to identify when an agentless authentication request resulted in a failure. The failure could be due to the user not being found in Okta Okta not being able to connect to AD or the user not being found in AD.  This can also be used to identify the potential cause of the failure. When fired this event contains information about the potential cause of the failure.,"iwa,system"
app.app_instance.provision_sync_job.completed,2019.08.3,1,0,"Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","admin,app,user-provision"
app.app_instance.provision_sync_job.failed,2019.08.3,1,0,Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.,"admin,app,user-provision"
app.app_instance.provision_sync_job.started,2019.08.3,1,0,Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.,"admin,app,user-provision"
system.directory.debugger.grant,2019.09.0,1,0,Grant Directory Debugger access for Okta support. This can be used to audit the Directory Debugger access grants to Okta support. When fired this event contains information about Directory Debugger access grant.,agent
system.directory.debugger.query_executed,2019.09.0,0,0,A read-only query executed against AD/LDAP instance by Okta support using the Directory Debugger tool. This can be used to audit the queries executed by Okta support using Directory Debugger. When fired this event contains information about Directory Debugger query.,agent
system.directory.debugger.revoke,2019.09.0,1,0,Revoke Directory Debugger access for Okta support. This can be used to audit the Directory Debugger access revoke. When fired this event contains information about Directory Debugger access revoke.,agent
system.directory.debugger.extend,2019.09.0,1,0,Extend Directory Debugger access for Okta support. This can be used to audit the Directory Debugger access extension. When fired this event contains information about Directory Debugger access extension.,agent
group.lifecycle.create,2019.11.0,1,0,Create Okta group. This can be used to make sure an Okta group is successfully created. Event fired when an Okta group is successfully created.,"event-hook-eligible,group"
group.lifecycle.delete,2019.11.0,1,0,Delete Okta group. This can be used to make sure an Okta group is successfully deleted. Event fired when an Okta group is successfully deleted.,"event-hook-eligible,group"
system.import.roadblock.updated,2019.11.0,1,0,Fired when an import roadblock (aka Import Safeguard) has been updated. This event can be used to identify when an admin updated the Max Import Unassignment roadblock setting and what the setting was updated to. This event includes details on what the roadblock was updated to and who made the change.,"import,system"
app.oauth2.admin.consent.grant,2019.12.0,1,0,Administrator consent granted for scope. This event can be used to track when an administrator grants consent to a client to request a specific scope. This event is fired when an admin grants consent.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.admin.consent.revoke,2019.12.0,1,0,Administrator consent revoked for scope. This event can be used to track when an administrator revokes consent to a client to request a specific scope. This event is fired when an admin revokes consent.,"oauth2,oauth2-as-runtime,oauth2-org-as"
system.import.download.complete,2020.01.0,0,0,Fired at the completion of the download objects phase when the objects (users groups devices) to be imported have been downloaded from the system of record. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired at the completion of the download objects phase when the objects (users groups devices) to be imported have been downloaded from the system of record.,"import,system"
system.import.download.start,2020.01.0,0,0,Fired at the start of the download objects phase when the objects (users groups devices) to be imported are being downloaded from the system of record. This can be used to determine when an import has started as well as to monitor to trigger processes that should run concurrently with the import. Fired at the start of the download objects phase when the objects (users groups devices) to be imported are being downloaded from the system of record.,"import,system"
system.import.implicit_deletion.start,2020.01.0,0,0,Fired at the start of the implicit deletion phase when Okta checks for the deletion of users groups and custom objects. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired at the start of the implicit deletion phase when Okta checks for the deletion of users groups and custom objects.,"import,system"
system.import.membership_processing.start,2020.01.0,0,0,Fired at the start of the membership processing phase when Okta checks which groups users being imported into Okta should be added to/removed from. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired at the start of the membership processing phase when Okta checks which groups users being imported into Okta should be added to/removed from.,"import,system"
system.import.object_creation.complete,2020.01.0,0,0,Fired upon completion of the object creation phase when the first batch of objects is created/updated. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired upon completion of the object creation phase when the first batch of objects is created/updated.,"import,system"
system.import.object_creation.start,2020.01.0,0,0,Fired at the completion of the download objects phase when the objects (users groups devices) to be imported have been downloaded from the system of record. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired at the completion of the download objects phase when the objects (users groups devices) to be imported have been downloaded from the system of record.,"import,system"
system.import.user_matching.start,2020.01.0,0,0,Fired at the start of the user matching phase when Okta attempts to match imported users to existing Okta users. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired at the start of the user matching phase when Okta attempts to match imported users to existing Okta users.,"import,system"
system.import.user_matching.complete,2020.01.0,0,0,Fired upon completion of the user matching phase when Okta attempts to match imported users to existing Okta users. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired upon completion of the user matching phase when Okta attempts to match imported users to existing Okta users.,"import,system"
system.import.membership_processing.complete,2020.01.0,0,0,Fired upon completion of the membership processing phase when Okta checks which groups users being imported into Okta should be added to/removed from. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired upon completion of the membership processing phase when Okta checks which groups users being imported into Okta should be added to/removed from.,"import,system"
system.import.implicit_deletion.complete,2020.01.0,0,0,Fired upon completion of the implicit deletion phase when Okta checks for the deletion of users groups and custom objects. This can be used to determine the progress of an import as well as to monitor to trigger processes that should run concurrently with the import. Fired upon completion of the implicit deletion phase when Okta checks for the deletion of users groups and custom objects.,"import,system"
user.account.update_user_type,2020.02.0,0,0,Fires when a user changes from one type to another. Can be used to audit when a user gets converted from a contractor to a full-time employee for example. Data includes the old and new type ids. There may be an accompanying update_profile event if values were changed.,"account,user,user-config"
system.email.template.update,2020.03.0,1,0,This event is fired when a custom email template has been updated. Developers and Org Admins can use this to identify when a custom email template has been updated. The event details can be used to identify the template type and template engine. Usually this event will follow system.email.template.create and precede system.email.template.delete events.,"admin,email"
user.mfa.okta_verify.deny_push_upgrade_needed,2020.05.0,0,0,Rejected Okta push verify as Upgrade Needed. This can be used to audit events where Okta push verify was rejected as the app needed upgrade. Note that the event is fired when Okta Verify push is rejected. It is possible that the user might have chosen another factor and made successful login as well.,mfa
user.import.password,2020.05.1,0,0,Fired when a user has successfully logged in to Okta and an attempt to import their Password has been made. This can be used to understand if a user password import attempt was successful or if it failed. If the attempt failed the password import will be tried again on a subsequent successful login. When fired this event contains information about the import type and whether or not the password import was successful. If the import is successful it is safe to clean up that user from an external system. If the import failed Okta will continue retrying the import during every successful authentication attempt until the password is successfully imported. Check the failure reason for details about whether any action is needed for the import to succeed.,"credential,event-hook-eligible,import,user"
system.client.concurrency_rate_limit.violation,2020.06.1,0,0,Too many requests in flight for client. This can be used to track if there are too many concurrent requests from a client. When fired this event contains information about the request such as client device and ip details.,system
system.client.rate_limit.violation,2020.06.1,0,0,Client rate limit violation. This can be used to track if a client is exceeding its rate limit. When fired this event contains information about the request such as client device and ip details.,system
security.authenticator.lifecycle.deactivate,2020.06.3,1,1,Fired when an admin deactivates an authenticator for the org. This event can be used to identify who deactivated an authenticator and which authenticator was deactivated. When fired this event contains information about the authenticator type that was deactivated and the actor who deactivated the authenticator. Authenticator deactivation occurs when an authenticator is removed. Related events include security.authenticator.lifecycle.activate.,"authenticator,event-hook-eligible,oie-only"
security.authenticator.lifecycle.activate,2020.06.3,1,1,Fired when an admin activates an authenticator for the org. This event can be used to identify who activated an authenticator and which authenticator was activated. When fired this event contains information about the authenticator type that was activated and the actor who activated the authenticator. Authenticator activation occurs when an authenticator is added. Related events include security.authenticator.lifecycle.deactivate.,"authenticator,event-hook-eligible,oie-only"
system.push.send_factor_verify_push,2020.06.3,0,0,Fired when a Push notification is sent to a device. Used to notify admins when a push was sent to a user for verification. Note that this event is fired whenever a Push is sent.,push
app.user_management.user_group_import.upsert_fail,2020.07.1,0,0,Failed to import the group from app. This event helps identify when a group is failed to be imported. Fired when we skip processing an import of a group.,"app,app-user-management"
app.radius.info_access.no_permission,2020.08.0,0,0,No permission accessing any Radius app info. This event can be used to monitor and notify admins when some users who access radius app info have no permission. Fired when users who access radius app info have no permission.,"app,radius"
app.radius.info_access.partial_permission,2020.08.0,0,0,No permission accessing info for part of Radius apps. This event can be used to monitor and notify admins when some users who access radius app info have only partial permission. Fired when users who access radius app info have partial permission.,"app,radius"
system.sms.receive_status,2020.08.4,0,0,Fired when receiving a status update on SMS message from provider. This event can be used by Org Admins to identify users that are/aren't getting one-time passcodes delivered successfully via SMS provider status can be obtained from status field in debug data. For any system.sms.send_* event there should be exactly one of this event.,sms
system.voice.receive_status,2020.08.4,0,0,Fired when receiving a status update on voice call from provider. This event can be used by Org Admins to identify users that are/aren't getting one-time passcodes delivered successfully via voice call provider status can be obtained from status field in debug data. For any system.voice.send_* event there should be exactly one of this event.,voice
system.idp.lifecycle.activate,2020.09.1,1,0,Fired when an Identity provider is activated. This can be used to audit that an identity provider has been activated. When fired this event indicates an Identity provider was activated. This event also indicates the type of the identity provider that was activated.,idp
system.idp.lifecycle.create,2020.09.1,1,0,Fired when a new Identity provider is created. This can be used to audit that a new identity provider has been created. When fired this event indicates an Identity provider was successfully created. This event also indicates the type of the identity provider that was created.,idp
system.idp.lifecycle.deactivate,2020.09.1,1,1,Fired when an Identity provider is deactivated. This can be used to audit that an identity provider has been deactivated. When fired this event indicates an Identity provider has been deactivated. This event also indicates the type of the identity provider that was deactivated.,idp
system.idp.lifecycle.delete,2020.09.1,1,1,Fired when an Identity provider is deleted. This can be used to audit that an identity provider has been deleted. When fired this event indicates an Identity provider was deleted. This event also indicates the type of the identity provider that was deleted.,idp
system.idp.lifecycle.update,2020.09.1,1,1,Fired when an Identity provider is updated. This can be used to audit that an identity provider configuration has been updated. When fired this event indicates an Identity provider configuration was updated. This event also indicates the type of the identity provider that was updated.,idp
app.oauth2.as.token.detect_reuse,2020.09.3,1,0,Detect one-time refresh token attempted reuse. This event can be used by administrators to detect and audit attempted reuse of one-time refresh tokens. When fired this event contains information about the user client to which the refresh token was minted and the hash of the refresh tokens.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.token.detect_reuse,2020.09.3,1,0,"Detect one-time refresh token attempted reuse. This event can be used by administrators to detect and audit attempted reuse of one-time refresh tokens. When fired this event contains information about the user client to which the refresh token was minted and the hash of the refresh tokens.","oauth2,oauth2-as-runtime,oauth2-org-as"
user.identity_snapshot.attestation.create,2020.09.3,1,0,Create identity snapshot attestation for a user. This event can be used by administrators to audit identity snapshot attestations minted for a user. The user and the application are in the event signifying which user the attestation token is being minted for and which application is requesting it.,"attestation,user"
user.mfa.factor.suspend,2020.09.4,0,1,Suspend factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle status when a factor is suspended usually as a result of suspected compromise. When fired the event contains information about the MFA factor that has been suspended as well as the target user and the user suspending the factor. When unsuspended related event user.mfa.factor.unsuspend will be fired.,"event-hook-eligible,mfa,oie-only"
system.client.rate_limit.notification,2020.09.4,0,0,Notify when client rate limits are exceeded. This can be used to notify whenever a client is exceeding its rate limit without enforcing any violation. When fired this event contains information about the request such as client device and ip details.,system
user.mfa.factor.unsuspend,2020.09.4,0,1,Unsuspend factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle status when a factor is reactivated from a state of suspension after it has been determined that the authenticator is secure. When fired the event contains information about the MFA factor that has been unsuspended as well as the target user and the user reactivating the suspended factor. Before suspension related event user.mfa.factor.suspend would have been fired.,"event-hook-eligible,mfa,oie-only"
system.client.concurrency_rate_limit.notification,2020.09.4,0,0,Notify when too many requests in flight for client. This can be used to notify whenever there are too many concurrent requests from a client without enforcing any violation. When fired this event contains information about the request such as client device and ip details.,system
device.enrollment.create,2020.10.4,0,0,Enroll new device. This can be used by any admin to monitor when a new device is registered successfully for Okta Verify. The user must have below the max allowed devices and a valid device status (not suspended or deactivated).The targets field contains key details of the enrolled device including name status serialNumber imei meid osVersion osPlatform. which may be useful for identifying the device tracking  which device platforms and OS versions that enrolled in Okta Device Authenticator.,"device-identity,event-hook-eligible,oie-only,user"
system.custom_error.update,2020.12.0,1,0,Custom Error page is updated. Can be used to identify when an admin has customized the Error page. Event fired when Error page is successfully updated.,admin
system.custom_signin.update,2020.12.0,1,1,Custom Sign in page is updated. Can be used to identify when an admin has customized the Okta-hosted Sign-In Widget. Event fired when Okta-hosted Sign-In Widget is successfully updated.,admin
system.custom_url_domain.verify,2020.12.0,1,0,Custom URL domain name ownership is successfully verified by Okta. Identifies when an admin has successfully verified the ownership of the domain name. When fired the event contains information about the domain name certificate source type and domain validation status.,admin
system.operation.rate_limit.violation,2020.12.0,0,0,Operation rate limit violation. This can be used to track if an operation is exceeding its rate limit. When fired this event contains information about the operation such as actor type scope and threshold details. OperationRateLimitType in debugData will indicate the category to which the rate limit is being applied (e.g. authenticator_otp_verification) OperationRateLimitSubtype defines specific subtypes (e.g. Email SMS or Voice call for authenticator_otp_verification type) and OperationRateLimitScope will indicate the scope of the rate limit (e.g. user or org level).,system
system.custom_url_domain.cert_upload,2020.12.0,1,1,Custom URL domain certificates are uploaded by an admin or generated by Okta. Can be used to identify when custom domain certificates are uploaded by an admin or generated by Okta. When fired the event contains information about the domain name and certificate source type.,"admin,system"
system.custom_url_domain.initiate,2020.12.0,1,1,Custom URL domain setup is initiated. Admin has initiated custom URL domain setup by inputting their custom domain for DNS verification. When fired the event contains information about the domain name certificate source type and domain validation status.,admin
app.oauth2.interact.interaction_handle,2021.01.0,1,0,Fired when interaction handle is generated by OIE. This event can be used by administrators to detect if additional interaction is required and an interaction handle has been issued. When fired this event contains interaction handle hash and the client to which it was issued.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.as.interact.interaction_code,2021.01.0,1,0,"Fired when interaction code is generated by OIE. This event can be used by administrators to audit interaction_code generation and troubleshoot why the IdX transaction has failed. When fired this event contains hashed values of the interaction_code and interaction_handle as well as information about the client to which they were issued.","oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.interact.interaction_handle,2021.01.0,1,0,Fired when interaction handle is generated by OIE. This event can be used by administrators to detect if additional interaction is required and an interaction handle has been issued. When fired this event contains interaction handle hash and the client to which it was issued.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.interact.interaction_code,2021.01.0,1,0,"Fired when interaction code is generated by OIE. This event can be used by administrators to audit interaction_code generation and troubleshoot why the IdX transaction has failed. When fired this event contains hashed values of the interaction_code and interaction_handle as well as information about the client to which they were issued.","oauth2,oauth2-as-runtime,oauth2-org-as"
system.mfa.factor.deactivate,2021.01.1,1,1,Deactivate MFA factor. Can be used to identify when an admin has disabled a factor for MFA. When fired the event will contain details of which factor is disabled.,"admin,mfa"
system.mfa.factor.activate,2021.01.1,1,1,Activate a new MFA factor. Can be used to identify when an admin has enabled a new factor for MFA. When fired the event will contain details of which factor is enabled.,"admin,mfa"
system.operation.rate_limit.warning,2021.01.2,0,0,Operation rate limit warning. This can be used to track if an operation is approaching its rate limit. When fired this event contains information about the operation such as actor type scope and threshold details. OperationRateLimitType in debugData will indicate the category to which the rate limit is being applied (e.g. authenticator_otp_verification) OperationRateLimitSubtype defines specific subtypes (e.g. Email SMS or Voice call for authenticator_otp_verification type) and OperationRateLimitScope will indicate the scope of the rate limit (e.g. user or org level).,system
system.import.user_csv.start,2021.01.2,1,0,Bulk Import of users from CSV is started. Informs when bulk import of users from CSV has been attempted to be uploaded. This event is logged when bulk user import from CSV has started and is a precursor to user.lifecycle.create; user.lifecycle.activate events.,"admin,csv-upload,user-import"
system.import.user_csv.complete,2021.01.2,1,0,Bulk Import users from CSV is completed. Informs when bulk user import from CSV has been completed. This event is logged when bulk user import from CSV has completed with the outcome as success or failure. When fired this event also contains debug context about the number of users added/updated/unchanged or with errors.,"admin,csv-upload,user-import"
workflows.user.connection.create,2021.02.1,1,1,This event can be used by any admin or security team member to monitor the creation of new connections for Workflows connectors. The target fields provide information on the user that created the connection the application for which the connection was created and the display name the user provided for the connection. Other connection lifecycle events include workflows.user.connection.revoke workflows.user.connection.reauthorize and workflows.user.connection.delete. Note that this event only indicates if a connection was successfully added to the database and does not distinguish whether or not that connection is valid.,workflows
workflows.user.connection.revoke,2021.02.1,1,1,This event can be used by any admin or security team member to monitor when a token for a Workflows connection has been revoked in a third party service. and the event usually fires along with workflows.user.connection.delete.  The target fields provide information on the user that revoked the connection the application for which the connection was revoked and the display name originally provided for the connection. Other connection lifecycle events include workflows.user.connection.create workflows.user.connection.reauthorize and workflows.user.connection.delete. Note that this event only fires for connections where the service supplies an API endpoint for revoking tokens.  Tokens that cannot be revoked via API must be managed manually in the third party application.,workflows
workflows.user.flow.activate,2021.02.1,1,1,Triggered when a user activates a flow in Workflows. Can be used to audit user activity in Workflows. Event is fired when a user toggles a flow on.,workflows
workflows.user.flow.create,2021.02.1,1,1,Triggered when a user creates a new flow in Workflows. Can be used to audit user activity in Workflows. Event is fired when a user creates and saves a new flow.,workflows
workflows.user.flow.deactivate,2021.02.1,1,1,Triggered when a user deactivates a flow in Workflows. Can be used to audit user activity in Workflows. This is triggered by deactivating a flow.,workflows
workflows.user.flow.delete,2021.02.1,1,1,Triggered when a user deletes a flow from Workflows. Can be used to audit user activity in Workflows.,workflows
workflows.user.flow.export,2021.02.1,1,1,Triggered when a user exports a flow from Workflows. Can be used to audit user activity in Workflows. Event is fired when a user exports one or more flows as a flowpack.,workflows
workflows.user.flow.import,2021.02.1,1,1,Triggered when a user imports a flow into Workflows. Can be used to audit user activity in Workflows. Event is fired when a user imports one or more flows as a flowpack.,workflows
workflows.user.flow.save,2021.02.1,1,1,Triggered when a user saves a flow in Workflows. Can be used to audit user activity in Workflows. Event is fired when a user saves a flow.,workflows
workflows.user.table.create,2021.02.1,1,1,This event can be used by any admin or security team member to monitor the creation of new tables in the Workflows platform. The target fields provide information on the user that created the table and the new table. Other table lifecycle events include workflows.user.table.view workflows.user.table.update and workflows.user.table.delete. Note that this event doesn't fire when a table is imported.  For that users can reference workflows.user.table.import or workflows.user.folder.import.,workflows
workflows.user.table.delete,2021.02.1,1,1,This event can be used by any admin or security team member to monitor when a user deletes a table from the Workflows platform. The target fields provide information on the user that deleted the table and the table itself. Other table lifecycle events include workflows.user.table.view workflows.user.table.update and workflows.user.table.create.,workflows
workflows.user.table.export,2021.02.1,1,1,This event can be used by any admin or security team member to monitor when a user exports table data from the Workflows platform using the Tables interface. The target fields provide information on the user that exported the table and the table itself. Related events include workflows.user.table.import workflows.user.folder.import and workflows.user.folder.export. Note that exports through the table interface include table data while exporting tables as part of folder export does not.,workflows
workflows.user.table.import,2021.02.1,1,1,This event can be used by any admin or security team member to monitor when a user imports table data into the Workflows platform using the Tables interface. The target fields provide information on the user that imported the table and the table itself. Related events include workflows.user.table.export workflows.user.folder.export and workflows.user.folder.import. Note that importing through the table interface requires an existing schema and is used to import the data from a .csv file.  This event does not fire as part of workflows.user.folder.import.,workflows
workflows.user.table.update,2021.02.1,1,1,This event can be used by any admin or security team member to monitor when a user updates a table's schema on the Workflows platform. The target fields provide information on the user that updated the table and the table itself. Other table lifecycle events include workflows.user.table.view workflows.user.table.create and workflows.user.table.delete. Note that this event does not include information about what was updated only that the table name or columns were modified. It does not fire when the table data itself is updated.,workflows
workflows.user.table.view,2021.02.1,1,1,This event can be used by any admin or security team member to monitor the viewing of table data in the Workflows platform. The target fields provide information on the user that viewed the table and which table was viewed. Other table lifecycle events include workflows.user.table.create workflows.user.table.update and workflows.user.table.delete. Note that this event only fires when a user manually accesses a table.  It does not fire when table data is accessed using the Workflows Table functions.,workflows
workflows.user.connection.delete,2021.02.1,1,1,This event can be used by any admin or security team member to monitor the deletion of existing Workflows connections.  The target fields provide information on the user that deleted the connection the application for which the connection was deleted and the display name originally provided for the connection. Other connection lifecycle events include workflows.user.connection.create workflows.user.connection.reauthorize and workflows.user.connection.revoke. Note that for OAuth connections this will often fire with the workflows.user.connection.revoke event.,workflows
workflows.user.connection.reauthorize,2021.02.1,1,1,This event can be used by any admin or security team member to monitor the reauthorization of existing connections for Workflows connectors.  Reauthorization can be used to retrieve a new access token or to change the credentials used by a connection. The target fields provide information on the user that reauthorized the connection the application for which the connection was reauthorized and the display name originally provided for the connection. Other connection lifecycle events include workflows.user.connection.create workflows.user.connection.revoke and workflows.user.connection.delete. Note that this event only indicates if a user attempted to reauthorize a connection and does not distinguish whether or not that reauthorization was successful.,workflows
iam.resourceset.bindings.add,2021.02.2,1,0,Admin role assignment is created. This event can be used to track and audit when a new admin role assignment is created. When fired this event contains information about the new user or group admin assignments for roles associated with the resource set.,"admin-role,event-hook-eligible"
iam.resourceset.bindings.delete,2021.02.2,1,0,Admin assignment is deleted. This event can be used to track and audit when an admin role assignment is deleted. When fired this event contains information about the deleted user or group admin assignments for roles associated with the resource set.,"admin-role,event-hook-eligible"
iam.resourceset.create,2021.02.2,1,0,Resource set is created. This event can be used to track and audit when a resource set is created. When fired this event contains information about the resources contained in the resource set that is created.,"admin-role,event-hook-eligible"
iam.resourceset.delete,2021.02.2,1,0,Resource set is deleted. This event can be used to track and audit when a resource set is deleted. When fired this event contains information about the resources contained in the resource set that is deleted.,"admin-role,event-hook-eligible"
iam.resourceset.resources.add,2021.02.2,1,0,Resources are added to a resource set. This event can be used to audit the resources added to a resource set. When fired this event contains information about the resources added to the resource set.,"admin-role,event-hook-eligible"
iam.resourceset.resources.delete,2021.02.2,1,0,Resources are deleted from a resource set. This event can be used to audit the resources deleted from a resource set. When fired this event contains information about the resources deleted from the resource set.,"admin-role,event-hook-eligible"
iam.role.create,2021.02.2,1,1,Custom admin role is created. This event can be used to track and audit when a custom admin role is created. When fired this event contains information about the permissions contained in the role that is created.,"admin-role,event-hook-eligible"
iam.role.delete,2021.02.2,1,1,Custom admin role is deleted. This event can be used to track and audit when a custom admin role is deleted. When fired this event contains information about the permissions contained in the role that is deleted.,"admin-role,event-hook-eligible"
iam.role.permissions.add,2021.02.2,1,0,Permissions are added to a custom admin role. This event can be used to audit the permissions added to a custom admin role. When fired this event contains information about the permissions added to the role.,"admin-role,event-hook-eligible"
iam.role.permissions.delete,2021.02.2,1,0,Permissions are deleted from a custom admin role. This event can be used to audit the permissions deleted from a custom admin role. When fired this event contains information about the permissions deleted from the role.,"admin-role,event-hook-eligible"
group.profile.update,2021.03.2,1,0,Okta group profile updated. Events of this type can be used by an IT administrator who wants to trigger an Okta Workflow to provision groups into downstream systems. The utility of the Event type is for Provisioning use cases to downstream systems.A classic example of this is a customer who uses Okta for Office 365 LCM and wants to push a distribution list from Okta to Office 365.,"event-hook-eligible,group"
app.oauth2.as.token.grant.device_secret,2021.04.2,0,0,Grant an OAuth2 device_secret for the Native SSO flow. This event adds tracking to let admins know when Native SSO is being used to protect desktop or mobile apps. When fired this event contains the device secret id which administrators can use to correlate with single logout events across native desktop apps.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
system.org.captcha.activate,2021.05.1,1,0,Enable org-wide captcha support. Indicates when org-wide captcha support is enabled for which pages and using which captcha instance. This event is fired when org admin enables org-wide captcha for any supported pages.,"captcha,system"
system.captcha.delete,2021.05.1,1,1,A captcha instance is deleted. Indicates when a captcha instance was deleted. This event is fired when org admin deletes a captcha instance.,"captcha,system"
