phase,type,event,date,title,description,Presenter,link,"__mv_phase","__mv_type","__mv_event","__mv_date","__mv_title","__mv_description","__mv_Presenter","__mv_link"
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-24","Automate Forensic Investigations in AWS with Splunk","<p>Alerts in cloud environments require your team to quickly and precisely gather evidence and isolate affected environments. The GE Digital Predix Incident Response (IR) team found an abundance of content for analyzing forensic evidence from Windows environments, but they noticed a gap in content built for performing investigations on Linux-based hosts. The Predix IR team will discuss the tools they have built to contain a compromised Linux-based hosts, gather evidence, and analyze that evidence in Splunk. Utilizing splunk searches, lookups, and visualization components to look both narrowly into the data set as well as broadly across the rest of the environmental data in splunk to identify known bad or potentially suspicious activities that may warrant further investigation by an analyst. </p>
","Alina Dejeu, Incident Responder, GE  David Rutstein, Principal Analyst, GE","https://conf.splunk.com/watch/conf-online.html?search=SEC1479","$Data exfiltration$;$Encrypt data$",,,,,,"$Alina Dejeu, Incident Responder, GE $;$David Rutstein, Principal Analyst, GE$",
"Valid credentials",Conf,".conf19","2019-10-22","Lessons Learned from Deploying Splunk UBA","<p>Splunk User Behavioral Analytics (UBA) is a machine learning driven solution that helps organizations find hidden threats and anomalous behavior across users, devices, and applications. In this session we'll answer questions that came up during our large-scale deployment such as, once you've got UBA installed, how do you know if it is working well in your environment? And how long after installation does it take for the system to be operational and produce results? We'll also share best practices for validating outputs and tuning the system. This session will help you jumpstart your understanding of UBA and help you get your UBA deployment into production and detecting threats faster.</p> ","Maria Sanchez, Technical Support Engineer, User Behavioral Analytics (UBA), Splunk Teresa Chila, Data Scientist, Chevron","https://conf.splunk.com/watch/conf-online.html?search=SEC1490",,,,,,,"$Maria Sanchez, Technical Support Engineer, User Behavioral Analytics (UBA), Splunk$;$Teresa Chila, Data Scientist, Chevron$",
"Data exfiltration Encrypt data Malicious document",Conf,conf21,"2021-10-19","DoH or DoH Not, There Is No Try. Is Machine Learning the Force You Need To Save Your Detections From the Encryption Empire?","DNS over HTTPS (DoH) is an enhancement to the DNS protocol. Encrypting these vital communications poses a clear benefit but also a cost. How can security teams who rely on DNS visibility to identify malicious activity continue to do so? Is the rug pulled from beneath them completely? What information remains? Is it possible to locate DNS traffic within a plethora of encrypted communications? We'll answer these questions by introducing methodologies for exploratory data analysis and machine learning to classify encrypted traffic within Splunk. Attendees will come away with a better understanding of DoH and a range of new techniques and technologies that could apply to their organization's environment to address these new challenges.","Josh Cowling, Staff Solutions Architect, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1495C","$Data exfiltration$;$Encrypt data$;$Malicious document$",,,,,,,
"Internet-exposed service",Conf,".conf19","2019-10-23","Accelerating Cloud Migration with Splunk","<p>National Australia Bank has announced a goal to move 35% of its 2500 applications to the public cloud by the end of 2020. We'll discuss how we’re using our AWS-hosted Splunk platform to enable this migration within a regulated industry by providing visibility of compliance status across hundreds of AWS accounts, as well as implementing consistent infrastructure, application health, and security monitoring patterns across all environments (on-premises, AWS, and Azure).  We’ll also describe how we’ve automated Splunk onboarding and development processes to support the resulting increase in Splunk usage.</p>
","Katherine Shaw, Head of Technology , Accenture","https://conf.splunk.com/watch/conf-online.html?search=SEC1500",,,,,,,,
"Command and control Data exfiltration Encrypt data",Conf,conf21,"2021-10-20","Calling Security Mavericks: Fulfill Your SOC Need For Speed With Google Cloud & Splunk","It's more critical than ever to secure your company data and protect your workloads. In this session, we'll show you how to use high fidelity Google Cloud logs and automated security findings from Google Cloud Security Command Center (SCC), cloud-tailored detections from Splunk Enterprise Security (ES), and automated response from Splunk SOAR to enhance your threat prevention, detection and speed up your response techniques. We'll also dive into how GCP security data map into existing Common Information Model (CIM) models to leverage out-of-the-box content available in ES, ES Content Update and Splunk Security Essentials App. Finally, we'll show how you can map out this threat content while following the open MITRE ATT&CK framework.","Wissam Ali-Ahmad, Staff Partner Solutions Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1508A","$Command and control$;$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-23","Zero to Hero: A 202-Year-Old Firm’s Journey to End-to-End Security Visibility","<p>Does your small team also run a full-featured SOC that supports a global company? In this session we’ll show you how we’ve used Splunk Cloud and Splunk Enterprise Security to bring together all the relevant security intelligence from our technology stack, transforming our security operations from ad hoc and tactical to strategic and compliance-driven. We’ll discuss key takeaways from our journey, such as the benefits of ingesting data properly from the outset so you can reap the rewards as you scale; how we leverage multiple use cases out of single data sources; and how we created easy-to-understand visualizations that convey our firm’s security posture to management.</p>
","Craig Gilliver, Head Of SecOps, Johnson Matthey Edward Asiedu, Senior Professional Services Consultant, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1511","$Data exfiltration$;$Encrypt data$",,,,,,"$Craig Gilliver, Head Of SecOps, Johnson Matthey$;$Edward Asiedu, Senior Professional Services Consultant, Splunk$",
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf19","2019-10-23","I Have Authority to Operate in the Cloud...Now How Do I Secure It?","You finally got Authority To Operate (ATO) in the Cloud, and you're feeling the budgetary and political pressure to transition your workloads to AWS. But how do you actually transition a workload securely? This session covers the essentials of using Splunk to quickly increase your security posture and awareness in the Cloud. Learn from our experiences and leave with more confidence that you're asking smart questions of your data, monitoring and alerting on the right things, assigning responsibilities to your team appropriately, and have an actionable security plan in place to protect your Cloud assets.","Patrick  Shumate, Solutions Architect, Splunk Stephen Alexander, Sr. Solutions Architect , Amazon Web Services","https://conf.splunk.com/watch/conf-online.html?search=SEC1518","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$Patrick  Shumate, Solutions Architect, Splunk$;$Stephen Alexander, Sr. Solutions Architect , Amazon Web Services$",
"Data exfiltration Encrypt data Internet-exposed service",Conf,conf21,"2021-10-19","How BlockFi Is Using Machine Learning To Take Crypto Safety to the Moon!","BlockFi is a cryptocurrency platform that allows its clients to grow wealth through various financial products capabilities, including loans, trading and interest accounts. The safety of our client's assets and personal information is taken very seriously by the security operations team. In this session, we will showcase how BlockFI uses Splunk to identify operational risks and ensure the safety of client assets leveraging different machine learning techniques such as anomaly detection, forecasting and graph analytics. We will demonstrate fraud identification, account takeover and data mining using graphs to ensure client safety. Additionally, we will showcase how to improve ML operations using summarization and feature development.","Anthony Tellez, Security Architect, Machine Learning & AI, BlockFi","https://conf.splunk.com/watch/conf-online.html?search=SEC1527B","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,,
"Privilege escalation",Conf,conf21,"2021-10-20","Tackling Account Management Within the Cloud (AWS, Azure and GCP) With Splunk SOAR","Our distinguished Splunk SOAR engineer, Philip Royer, will walk you through three simple automated playbooks that you can use to monitor misuse of account privileges, new account creations, and any other abnormal account behavior. These playbooks will help your business create a line of defense in preventing bad actors from infiltrating into your systems within the cloud. Join us to learn how you can use these pre-built playbooks today!
 Learning Objectives:
 1. Learn how to use automation and orchestration to monitor abnormal behavior in cloud accounts.
 2. Learn how to investigate and respond to unusual account usage in the cloud.
 3. Learn how to use pre-built playbooks in your environment.
","Phil Royer, Research Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1528C",,,,,,,,
"Internet-exposed service Privilege escalation",Conf,conf21,"2021-10-19","The Must-Have Security Arms in the Cloud Journey - Splunk SIEM and UBA","As MSS security consultants, we will be sharing our experience on why implementing cloud security using SIEM is an indispensable mission of every organization's journey to the cloud and how it becomes obvious that monitoring their assets and user activity is an essential requirement. As organizations enlarge their cloud footprints across infrastructure as a service (IaaS) and platform as a service (PaaS) capabilities that span multiple accounts and regions and grant privileged access to multiple users across this massive landscape. We will share how SIEM and UBA's approach of incident detection to ensure cloud security is inevitable.","Prabhu Ravi, Principal Consultant, Verizon","https://conf.splunk.com/watch/conf-online.html?search=SEC1533A","$Internet-exposed service$;$Privilege escalation$",,,,,,,
"Command and control Lateral movement Malicious document Malware",Conf,".conf19","2019-10-23","Have No Fear, WMI Is Here: Identify Lateral Movement and Malicious Backdoors with Windows Management Instrumentation","Attackers are increasingly using a 'living off the land' approach, often using crypto mining malware, EternalBlue, timing, or other attacks that leverage the Windows Management Instrumentation Command Line. These attacks typically don't generate any events via conventional Sysmon and PowerShell, so even if you're pulling in those logs you likely won't see them. Join this session to learn how to detect and protect your organization from these advanced WMI-based attacks.","Ryan Becwar, Sales Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1550","$Command and control$;$Lateral movement$;$Malicious document$;$Malware$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","How We Scaled Splunk Enterprise Security to 100TB with Search Head Clustering","Want to scale Splunk Enterprise Security to 100TB/day? We've done it! In Splunk labs, we built workloads that closely simulate our customers' usage patterns, and we scaled beyond a 100TB per day ingest rate with search head clustering. In this session we'll share key aspects of our Splunk Enterprise Security workload design: diverse source types, major data models, search scenarios, data enrichment, and hardware choices for search head and indexer.  We will also share how different configurations impact search performance and how to tune Splunk Enterprise Security effectively with parameters such as max_searches_per_cpu, acceleration.max_concurrent, allow_skew, and maxBundleSize to name a few. Come see how we scaled to large volumes while efficiently utilizing hardware capacity for maximum performance.
","Devendra Badhani, Sr Engineering Manager, Splunk Jesse Chen, Principal Performance Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1554","$Data exfiltration$;$Encrypt data$",,,,,,"$Devendra Badhani, Sr Engineering Manager, Splunk$;$Jesse Chen, Principal Performance Engineer, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","Building Behavioral Detections: Cross-Correlating Suspicious Activity with the MITRE ATT&CK™ Framework","<p><em>Advanced attackers that live off your land add insult to what can be very serious injury. In this session we'll show you how to use behavioral analysis to identify advanced attackers that evade traditional signature-based detection methods. We do so in our organization by using Splunk to combine insights from traditional data sources to detect activity across multiple phases of the MITRE ATT&CK™ framework. We'll focus on how to build queries </em><em> tune them for your environment, and start catching these threat actors with behavioral detections as soon as you get back from .conf.</em></p>
","Haylee Mills, Security Engineer, Charles Schwab","https://conf.splunk.com/watch/conf-online.html?search=SEC1556","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-23","Survival of the Fastest: The 1-10-60 Rule","Winston Churchill once said, “Success is not final, failure is not fatal: it is the courage to continue that counts."" Then again, Churchill wasn’t in cybersecurity...While our successes are certainly never final, our failures can absolutely be fatal—to a company and our continued employment. What's a good way to actually measure success and failure, though, outside of not appearing on the front page of the paper? Well, as CrowdStrike notes, you have on average one minute to detect an attack in progress, ten minutes to understand it, and sixty minutes to contain it. We will show how to use this 1-10-60 Rule as a measuring metric and leverage the data and capabilities within Splunk and its ecosystem to ensure that we win the survival of the fastest.","Tim Sullivan, Global Senior Strategic Solutions Architect, CrowdStrike Wissam Ali-Ahmad, Lead Solutions Architect, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1573","$Data exfiltration$;$Encrypt data$",,,,,,"$Tim Sullivan, Global Senior Strategic Solutions Architect, CrowdStrike$;$Wissam Ali-Ahmad, Lead Solutions Architect, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-20","Enterprise Security Biology IV: Integrating a Threat Intelligence Platform","<p>It seems that everyone who uses a SIEM (and many who don't) want to integrate threat intelligence to correlate indicators to their events. If you want to improve the fidelity of your threat intelligence alerts, this talk is for you. We will kick off the session by discussing the sources and the importance of threat intelligence and then briefly review how data flows through the Threat Intelligence Framework in Splunk Enterprise Security. From there, we will use MISP as our primary tool to show the various places into which you can integrate threat intelligence into the Framework. We will also discuss other methods to get threat intelligence into Splunk Enterprise Security and their associated pros and cons. At the conclusion of this talk, attendees will have a greater understanding of the Threat Intelligence Framework in Splunk Enterprise Security and how they can integrate threat intelligence directly into it.</p>
","John Stoner, Principal Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1579C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Command and control",Conf,".conf20","2020-10-20","How to Unify your Security Tools with Splunk Mission Control","<p>Is your security team constantly pivoting between multiple security tools and management consoles? Is “swivel chair” security slowing you down? Splunk Mission Control can help you integrate your entire security infrastructure – across endpoint and network security, threat intelligence, and cloud security –  so that each component can actively participate in your defense strategy. Attend this session to learn about the latest innovations with Splunk Mission Control that will allow you to stop juggling security tools, and start driving faster threat analysis, detection, response, and security decision-making.</p>
","Matt Tichenor, Product Manager, Splunk Wissam Ali-Ahmad, Lead Solutions Architect, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1589A",,,,,,,"$Matt Tichenor, Product Manager, Splunk$;$Wissam Ali-Ahmad, Lead Solutions Architect, Splunk$",
"Command and control Data exfiltration Encrypt data",Conf,".conf20","2020-10-21","Blast Off Into the Future of SecOps with Splunk Mission Control","<p>Splunk Mission Control is a cloud-based, unified security operations platform that brings together security data, analytics, and operations under one common work surface. Join this session to learn more about Mission Control and how it can help your security team modernize security operations, holistically manage security incidents, and make your current security investments faster, more efficient, and more effective.</p>
","Alexa Araneta, Product Marketing Manager, Splunk Kavita Varadarajan, Sr. Product Manager, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1593C","$Command and control$;$Data exfiltration$;$Encrypt data$",,,,,,"$Alexa Araneta, Product Marketing Manager, Splunk$;$Kavita Varadarajan, Sr. Product Manager, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-21","Operationalizing UBA to fullest potential","<p>You’ve purchased Splunk User Behavior Analytics (UBA), installed it in your environment, and completed the baselining. Now what? It’s time to start fine-tuning because the first few weeks can be pretty noisy. Learn effective ways to eliminate false positives and various methods to optimize anomalies and threats using the approaches below: 1) Create custom anomaly action rules. 2) Create custom threat rules. 3) Clean up HR data/dealing with unknown users flagged. You should walk away from this session with new techniques to operationalize UBA that will help end-users extract greater levels of ROI.</p>
","Annette Fontanilla, Consultant, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1616A","$Data exfiltration$;$Encrypt data$",,,,,,,
"Valid credentials",Conf,".conf19","2019-10-22","Cops and Robbers II: Paint the Town Purple! ","Building on last year's .conf talk, we're making security monitoring great again by adding more functionality and flair to the concept of a MITRE ATT&CK™ navigator interface in Splunk. The result is an easier way to execute tests and validate your detections.  Our main goal is not only improving your security posture but also fostering cross-team collaboration through a methodology and tools that simulate adversary style actions, validate your existing detections, and build new detections. These enhancements make it easier for you to prove to yourself and your management that you have (or don't have) the visibility you need.  We will showcase one way to tangibly measure your capabilities against the popular ATT&CK™ framework, and we'll again use Atomic Red Team for our adversary actions, because it's awesome and leverages a common framework popular with Splunk customers.  In addition to apps and playbooks, this year's collateral will include detailed guides to help you implement these tactics in your own SOC.","Kyle Champlin, Senior Product Manager, Splunk Tim Frazier, Senior Security Specialist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1619",,,,,,,"$Kyle Champlin, Senior Product Manager, Splunk$;$Tim Frazier, Senior Security Specialist, Splunk$",
"Data exfiltration Encrypt data Exploit vulnerability",Conf,conf21,"2021-10-20","Securing Science: Risk Based Vulnerability Management Leveraging Splunk","In 2020 over 18,000 vulnerabilities were tracked by the National Vulnerability Database. Of those vulnerabilities, over 4000 were classified with a HIGH severity rating. 
 
 For a leading global biopharmaceutical corporation at the forefront of Covid-19 vaccine development, vulnerability management is a key pillar to the success of our cybersecurity initiatives. Join us to learn how we transitioned from traditional vulnerability reporting and management to a more informed and efficient, risk-based approach using Splunk.
 
 We will present traditional challenges faced by vulnerability and risk teams, how early initiatives were implemented and how the program has matured, paving the way for faster and more focused company-wide remediation efforts.
","Josh Diakun, Managing Partner, Discovered Intelligence","https://conf.splunk.com/watch/conf-online.html?search=SEC1638A","$Data exfiltration$;$Encrypt data$;$Exploit vulnerability$",,,,,,,
"Data exfiltration Encrypt data Internet-exposed service Malware",Conf,".conf20","2020-10-21","Implementing a cyber attack detection system using Splunk Cloud and Splunk Phantom at Mizuho Financial Group","<p>Mizuho Bank has built an efficient security defense system using Splunk Cloud and Splunk Phantom that includes real-time and automated responses, IP/domain investigation, sandbox analysis, and more. Splunk Cloud uses various data sources for real-time analysis, and detection of viruses and malware and data leaks. And Mizuho’s in-house SOC analyst can quickly perform detailed analyses using a Splunk app. Also, Splunk Phantom automatically analyzes indicators and artifacts in alert. As of 2020, migration from on-prem to Splunk Cloud has reduced the number of man-hours required to manage Splunk servers by 35 percent, resulting in annual cost savings of 25 million yen. With the introduction of Splunk Phantom, the automation of existing operations has reduced annual SOC/CSIRT response time by over 1,200 hours ( a 67% reduction), thus improving operational efficiency.</p>
","Daiki Isobe, Manager, Mizuho Financial Group, Inc.","https://conf.splunk.com/watch/conf-online.html?search=SEC1658B","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$;$Malware$",,,,,,,
"Data exfiltration Encrypt data",Conf,conf21,"2021-10-19","Optimizing Security Data To Speed Incident Detection and Response","Splunk Ninjas are always called upon to do more with less, and we are no exception. At TransUnion, we have a mandate to protect the security and integrity of our enterprise and doing that requires managing high volume data streams such as Sysmon. We are able to reduce Sysmon volume significantly while still maintaining data quality and matching against millions of IOCs in real-time to enrich the data in motion. In this session, we'll show approaches that allowed us to remove noise, enrich the data stream on ingest using Threat Intel providers such as BitSight, make real time routing decisions on these sources at scale and then push this data to Splunk with the right form and format.","Padraic Canavan, Lead Engineer, TransUnion","https://conf.splunk.com/watch/conf-online.html?search=SEC1661A","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-24","Use Splunk SIEMulator to Generate Data for Automated Detection, Investigation, and Response ","<p>Obtaining data to develop defenses against threats is a constant challenge for security analysts. To that end, Splunk's Security Research team developed the Splunk SIEMulator, a framework modeled after Chris Long's DetectionLab that allows a defender to replay attack scenarios using AttackIQ in a simulated environment. SIEMulator’s Attack Range environments are all configured with Splunk forwarders and the apps necessary to create and store data in CIM data models. We'll show you how to use the SIEMulator to produce shareable data that can help security analysts replicate scenarios and effectively detect, investigate, and respond to threats.</p>
","Phil Royer, Research Engineer, Splunk Rod Soto, Principal Security Research Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1671","$Data exfiltration$;$Encrypt data$",,,,,,"$Phil Royer, Research Engineer, Splunk$;$Rod Soto, Principal Security Research Engineer, Splunk$",
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf20","2020-10-21","Cybersecurity in Government: During and beyond the pandemic","<p>Cybersecurity has been a key priority for government agencies over the years. And the pandemic only accelerated its criticality since cybercriminals and hackers don’t let a good crisis go to waste. Agencies not only had to handle a massive shift to remote work but also had to be in the frontlines protecting agency systems and sensitive data from being breached. How did agency officials handle this and what lessons did they learn? How do these lessons translate well beyond the crisis? How did security teams deal with burnout and fatigue and what lessons did they gain to ensure wellness of front-line teams? Join a panel of government CISOs as we explore the many challenges agencies faced this year, how they managed risk and the lessons they took away.</p>
","Matthew Shallbetter, Director of Strategic Design and Innovation, Chief Product Office, Department of Health and Human Services","https://conf.splunk.com/watch/conf-online.html?search=SEC1671B","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,,
"Data exfiltration Encrypt data",Conf,conf21,"2021-10-19","Got Assets? Detecting & Protecting Your Assets With Splunk","Understanding your assets (all of them and not just the ones you thought you were protecting) is a critical foundation for any ""risk-based"" security practice. How many times have you heard ""I don't trust our CMDB"" or ""Our Asset data is a mess""? Our collective experience has taught us that this is one of the hardest things to get right. Join us as we break down the options available and show you some of the key technical steps for developing a successful approach to asset discovery with Splunk. Splunk, as a platform, is ideally suited to become both the detection mechanism and the system of record enabling you to more accurately identify the real assets present in your network.","James Young, Staff Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1689C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-21","When Data Sources Say ""I Do"": Creating a happily-ever-after triage solution","<p>As analysts, we know having as many pieces of the puzzle as possible is important to put together a full picture. But how much time do you lose to correlating and creating queries for each different data source individually, instead of finding more puzzle pieces? In this session, you’ll learn how to marry data sources to create a happily-ever after triage solution. We combined Syslog, firewalls, host-based data, and information from a tool called Iron Defense all within Splunk, so analysts can have the most complete picture when triaging. While we’ll show examples from our Splunk Dashboards and use data from other proprietary tools, the structure of the advanced queries can apply to anyone’s network, provided that they change the values to match their respective sources. Using the dashboard, we’ve named the Integrated Hunt Dashboard, analysts are able to triage efficiently and effectively all within Splunk Enterprise.</p>
","Rebecca Blair, Director of SOC Operations, Ironnet Tyler Atkinson, Technical Lead - Internal Monitoring Team, Ironnet","https://conf.splunk.com/watch/conf-online.html?search=SEC1699B","$Data exfiltration$;$Encrypt data$",,,,,,"$Rebecca Blair, Director of SOC Operations, Ironnet$;$Tyler Atkinson, Technical Lead - Internal Monitoring Team, Ironnet$",
"Data exfiltration Encrypt data",Conf,conf21,"2021-10-20","Turbocharge Splunk SOAR and SIEM Investments With TruSTAR Intel Workflows","One of the key tenets of impactful threat intelligence management is normalizing data from multiple sources to inform process automation better. In this session, you will learn how to set up TruSTAR Intel Workflows to operationalize internal and external intelligence, drive efficiencies in Splunk SOAR tools and improve incident triage. TruSTAR's no-code approach allows you to set up and manage multiple intelligence workflows tailored to your specific use cases, intel source profiles and destinations of choice. ","Elvis Hovor, Product Management, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1701C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Email Encrypt data",Conf,conf21,"2021-10-19","Improve Intelligence Sharing Efficiency and Governance Using TruSTAR Enclaves","Imagine having the flexibility to quickly share and consume indicators and threat intelligence from your ISACs or trusted partners without having to comb through emails or write additional scripts to automate this sharing. Learn how TruSTAR Enclaves enable the easy sharing of threat intelligence data across teams, tools and sharing partners like ISACs, ISAOs and trusted groups. Intelligence can also be anonymized when sharing with third parties to meet data governance standards.","Tyler Bent, Account Executive, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1702C","$Data exfiltration$;$Email$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,conf21,"2021-10-20","Normalize Threat Intelligence From Multiple Sources and Breakthrough Security Data Silos","Most organizations have invested in multiple premium or open-source threat intelligence feeds to inform critical functions within the SOC and incident management lifecycle. However, this data often sits in silos and is not easily integrated, making it difficult to operationalize. Learn how TruSTAR's intelligence management capabilities plug-and-play normalized and scored intelligence data into your Splunk ecosystem of tools to overcome integration debt and improve security operations processes.","Elvis Hovor, Product Management, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1703C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Command and control",Conf,".conf19","2019-10-24","Mission Control: A Day in the Life of a Security Analyst","<p>Join us to see the latest developments with Splunk’s Security Operations Suite. We’ll share background on the underlying architecture as well as a showcase of new features. Learn how your security use cases are solved with scale and performance.</p>
","Rob Truesdell, Sr Director, Product Management, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1706",,,,,,,,
"Data exfiltration Encrypt data Malicious document",Conf,conf21,"2021-10-19","AbnorML Detections - Using Math To Stop Bad Guys in ES","We've got mountains of data and need something like an electromagnet to find the needle in the haystack. Data Science for Adversarial Environments can be tough because of a lack of labeled data, class imbalance, and the difficulty of balancing false-positive/true-positive rates for alerts. In this session, learn about four distinct security detection methods using Enterprise Security (ES) that have proven successful at identifying malicious activities in the wild. Then, watch them stack together into an ensemble model (like VOLTRON) that puts a spotlight on your adversaries so you can spot security violations, fraud, and insider threats. Along the way, learn about some fundamentals of Data Science for Security that help make the job a lot easier.","Tyler Williams, Principal Senior Cybersecurity Data Scientist, SAIC","https://conf.splunk.com/watch/conf-online.html?search=SEC1708A","$Data exfiltration$;$Encrypt data$;$Malicious document$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","Examining Splunk Phantom's Architecture","Want to learn more about Splunk Phantom's platform architecture? Join us in this session for an in-depth technical review of all key processes, including ingestion, automation, action execution, health monitoring, the data store, and more.  This session will give experienced users a much deeper understanding of the technology behind Splunk’s SOAR (Security Orchestration Automation & Response) platform.","Sourabh Sourabh, VP & Distinguished Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1709","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data Valid credentials",Conf,".conf20","2020-10-21","How to keep AWS Security Groups Safe using Splunk!","<p>Are you worried about developers not following best practices when creating and maintaining Security Groups and exposing your cloud network and data to outside threats? We have solved this problem using Splunk to: 1) Audit AWS Security Groups; 2) Detect vulnerabilities: and 3) Fix and verify. We are using Splunk to correlate AWS VPC Flow Logs, AWS Lambda Logs, and AWS Description Logs. The result is concise, relevant information displayed in Splunk dashboards so developers can easily understand what traffic should and should NOT be allowed for a Security Group, and to enable users to take corrective actions. A configuration rule driven alert also helps to detect valid traffic so it is not rejected after a Security Group change. The integration of Splunk and AWS resource logs helps us ensure that all of our non-production and production Security Groups adhere to Security Group Best Practices and keeps our cloud environment safe.</p>
","John Ray, Consulting Software Engineer, LexisNexis Nishant Mehta, Lead DevOps Engineer, Cognizant Technology Solutions","https://conf.splunk.com/watch/conf-online.html?search=SEC1715A","$Data exfiltration$;$Encrypt data$;$Valid credentials$",,,,,,"$John Ray, Consulting Software Engineer, LexisNexis$;$Nishant Mehta, Lead DevOps Engineer, Cognizant Technology Solutions$",
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf20","2020-10-21","On the fence about Enterprise Security? Can it add value to your SOC/Company?","<p>In this session, Workiva will review their implementation of Enterprise Security (ES). We’ll briefly discuss our initial vendor survey and why we chose ES over the competitors. We’ll fast-forward to our first kickoff call with Professional Services. We’ll detail how we implemented ES in our non-traditional cloud environment while continuing to provide our SaaS product to customers worldwide. Lastly, we’ll do some reflecting on lessons learned, review some of the challenges (both technical and data driven) that we’ve faced, and look ahead as we further incorporate ES into our Security Operation Center (SOC).</p>
","Ellen Hartstack, Security Operations Manager , Workiva","https://conf.splunk.com/watch/conf-online.html?search=SEC1733B","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,,
"Command and control",Conf,conf21,"2021-10-20","SIEM, SOAR and XDR...Which One?","Do you really have to pick? Why not all three? Is one better than the other? The market is flooded with great security tools, so how do you know which ones you need and what for. Come with us and we'll demystify these three technologies and show you how they actually complement each other and how you ensure you can realize the full benefits out of everything on offer. As much as the technology we have to choose from is designed to provide maximum capability with minimum effort, there is still the ever-important people and process part of the equation that needs to be considered and clearly defined. So irrespective of your organization's size or maturity level, what are the right steps for you to follow to build a world-class SOC.","Paul Pelletier, Global Security Architect, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1742C",,,,,,,,
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf20","2020-10-21","Beam me up from this SIEM Scotty: Transition smoothly to Splunk ES as your next-generation SIEM","<p>This session will focus on Fannie Mae's migration to Splunk's next-generation SIEM to enable threat forensics and remediation across on-prem and cloud security data sources as part of the organization's digital transformation and cloud migration strategies. This session will cover the methodology used to get Splunk ES to stand up in AWS, dual-populate data across ArcSight and Splunk, transition the use cases to Splunk ES, and educate the SOC. This year-long process has enabled a seamless transition to Splunk ES without risking visibility and detection during the transition. We will cover how Fannie Mae not only migrated existing on-prem data sources, but also implemented design patterns to integrate security data from native AWS services, database services, and SSO federation services. We are currently able to use Splunk ES across both on-prem and AWS data for more effective cross-datacenter threat detection, which has been invaluable during this time of increased remote work.</p>
","Bob Deerinwater, Information Security Technology - Engineering - Advisor, Fannie Mae Sharada Chukka, Cyber Security Manager, Fanniemae","https://conf.splunk.com/watch/conf-online.html?search=SEC1764B","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$Bob Deerinwater, Information Security Technology - Engineering - Advisor, Fannie Mae$;$Sharada Chukka, Cyber Security Manager, Fanniemae$",
