ORACODE,DESCRIPTION,CAUSE,ACTION
ORA-16814,"incorrect redo transport setting for AlternateLocation for standby database","The Oracle Data Guard broker detected an incorrect redo transport setting for a standby database AlternateLocation property. The incorrect setting could be one of the following: - The AlternateLocation property was empty, but the redo transport to the standby database had an ALTERNATE setting. - The AlternateLocation property was not empty and the redo transport to the standby database had no ALTERNATE setting. - The AlternateLocation property did not match the ALTERNATE setting in the redo transport. The mismatch may include service string, directory specification of the alternate location, or the DB_UNIQUE_NAME attribute. - The LOG_ARCHIVE_DEST_STATE_n parameter corresponding to the alternate location was not set to ALTERNATE. - The flash recovery area was being used by the standby database for archived logs, but the redo transport to the standby database still had an ALTERNATE setting for the AlternateLocation property. Data Guard broker log files provide more details on which of the above cases caused the error.","Reenable the primary database to clear the error."
ORA-16815,"incorrect redo transport setting for AlternateLocation for standby database 'string'","The Oracle Data Guard broker detected an incorrect redo transport setting for a standby database AlternateLocation property. The incorrect setting could be one of the following: - The AlternateLocation property was empty, but the redo transport to the standby database had an ALTERNATE setting. - The AlternateLocation property was not empty and the redo transport to the standby database had no ALTERNATE setting. - The AlternateLocation property did not match the ALTERNATE setting in the redo transport. The mismatch may include service string, directory specification of the alternate location, or the DB_UNIQUE_NAME attribute. - The LOG_ARCHIVE_DEST_STATE_n parameter corresponding to the alternate location was not set to ALTERNATE. - The flash recovery area was being used by the standby database for archived logs, but the redo transport to the standby database still had an ALTERNATE setting for the AlternateLocation property. Data Guard broker log files provide more details on which of the above cases caused the error.","Reenable the primary database to clear the error."
ORA-16816,"incorrect database role","The Oracle Data Guard broker detected that the specified database had a different database role than that recorded in the Oracle Data Guard broker configuration. This could be the result of a failed switchover or failover operation, or a switchover or failover operation performed with SQL*Plus.","Check the Oracle Data Guard broker documentation to see how to recover from failed role change operations, or from role changes that were performed using SQL*Plus for databases managed by Oracle Data Guard broker."
ORA-16817,"unsynchronized fast-start failover configuration","The fast-start failover target standby database was not synchronized with the primary database. As a result, a fast-start failover could not happen automatically in case of a primary database failure.","Ensure that the fast-start failover target standby database is running and that the primary database can ship redo data to it. When the standby database has received all of the redo data from the primary database, the primary and standby databases will then be synchronized. The Oracle Data Guard configuration may then fail over automatically to the standby database in the event of loss of the primary database."
ORA-16818,"fast-start failover suspended","The primary database was intentionally shutdown. As a result, a fast-start failover could not happen automatically.","Start the primary database. This effectively restores the ability to automatically perform a fast-start failover in the event of a failure of the primary database."
ORA-16819,"fast-start failover observer not started","The observer for fast-start failover was not started. As a result, fast-start failover could not happen in the case of a primary database failure.","Start the fast-start failover observer by using, for example, the DGMGRL START OBSERVER command."
ORA-16820,"fast-start failover observer is no longer observing this database","A previously started observer was no longer actively observing this database. A significant amount of time elapsed since this database last heard from the observer. Possible reasons were: - The host where the observer was running was not available. - The network connection between the observer and this database was not available. - The observer process was terminated unexpectedly.","Check the reason why the observer cannot contact this database. If the problem cannot be corrected, stop the current observer by connecting to the Oracle Data Guard configuration and issue the DGMGRL STOP OBSERVER command. Then, restart the observer on another host. Finally, use the DGMGRL START OBSERVER command to start the observer on the other host."
ORA-16821,"logical standby database dictionary not yet loaded","The logical standby database had not loaded the dictionary. This status was detected by the broker health check mechanism. Alternatively, this status may be returned when attempting to switch or fail over to a logical standby database that had not yet loaded its dictionary.","Start SQL Apply on the logical standby database, if it is not already running, and wait for it to reach the APPLYING state."
ORA-16822,"new primary database not yet ready for standby database reinstatement","The new primary database, as a result of a logical standby database failover operation, had not fully completed the failover operation. An attempt to reinstate a disabled standby database could not be completed until failover completed on the new primary database.","Wait until the failover operation has completed on the new primary database. Then retry the reinstate operation."
ORA-16823,"redo transport mode is incompatible for current operation","The redo transport mode of this database was incompatible for this broker operation.","Reset the LogXptMode database property for this database and retry the broker operation."
ORA-16824,"multiple warnings, including fast-start failover-related warnings, detected for the database","The broker detected multiple warnings for the database. At least one of these warnings may have prevented fast-start failover from occurring.","To get a detailed status report, check the status of the database specified using either Enterprise Manager or the DGMGRL CLI SHOW DATABASE command."
ORA-16825,"multiple errors or warnings, including fast-start failover-related errors or warnings, detected for the database","The broker detected multiple errors or warnings for the database. At least one of these errors or warnings may have prevented a fast-start failover from occurring.","To get a detailed status report, check the status of the database specified using either Enterprise Manager or the DGMGRL CLI SHOW DATABASE command."
ORA-16826,"apply service state is inconsistent with the DelayMins property","This warning was caused by one of the following reasons: - The apply service was started without specifying the real-time apply option or without the NODELAY option when the DelayMins property was set to zero. - The apply service was started with the real-time apply option or with the NODELAY option when the DelayMins property was set to a value greater than zero.","Reenable the standby database to allow the broker to restart the apply service with the apply options that are consistent with the specified value of the DelayMins property."
ORA-16827,"Flashback Database is disabled","The broker detected that the Flashback Database feature was disabled. With Flashback Database disabled, the broker would not be able to: - reinstate a database that required reinstatement. - convert a physical standby database to a snapshot standby database. - convert a snapshot standby database to a physical standby database. Flashback Database may been disabled manually with the ALTER DATABASE FLASHBACK DATABASE OFF command or automatically by the database in the event of an error.","Check the database alert log to determine whether Flashback Database was disabled due to errors and then correct the problem. If Flashback Database had been manually disabled, reenable Flashback Database with the ALTER DATABASE FLASHBACK DATABASE ON command. If, after enabling Flashback Database, the database still cannot be reinstated or converted, you must re-create the database from a copy of the primary database."
ORA-16828,"invalid value specified for REDO_TRANSPORT_USER initialization parameter","An invalid value was specified for the REDO_TRANSPORT_USER initialization parameter. The length of the user name exceeded 30 characters.","Check the documentation and specify a new value for the REDO_ TRANSPORT_USER initialization parameter."
ORA-16829,"fast-start failover configuration is lagging","The fast-start failover target standby database was not within the lag limit specified by the FastStartFailoverLagLimit configuration property. As a result, a fast-start failover could not happen in the event of a primary database failure.","Ensure that the fast-start failover target standby database is running and applying redo data and that the primary database is successfully transmitting redo data. If this condition persists consider raising the value of the FastStartFailoverLagLimit configuration property."
ORA-16830,"primary isolated from fast-start failover partners longer than FastStartFailoverThreshold seconds: shutting down","The primary database was isolated from both the observer and target standby database for longer than the seconds specified by the FastStartFailoverThreshold property. A fast-start failover probably occurred. If the FastStartFailoverPmyShutdown configuration property was set to TRUE, the broker will shut down the primary database in this situation.","Ensure one instance of this database is running and the database is mounted on that instance so that the broker may reinstate the old primary database."
ORA-16831,"operation not allowed on this member","The Oracle Data Guard broker operation was not allowed for the specified member of the Oracle Data Guard broker configuration.","Check the documentation for the Oracle Data Guard broker command and then reissue the command with the correct member."
ORA-16832,"user-configurable fast-start failover initiated: shutting down","The broker initiated a fast-start failover to the target standby database because a user-configurable condition was detected on the primary database. In addition, the broker shut down the primary database.","Correct the problem on the old primary database that caused the broker to initiate a fast-start failover, then reinstate the old primary database."
ORA-16833,"no logging operations detected on database","The broker detected that no logging operations were performed on this database. The data modified by these operations may be lost if failover or switchover was performed.","Use Data Repair Advisor to determine which operations were not logged before attempting a switchover or failover."
ORA-16834,"control file corruptions detected on database","The broker detected control files corruptions. Many database operations, including switchover and failover, may not be possible.","Use Data Repair Advisor to determine the extent of the corruptions and how to repair them."
ORA-16835,"standby database has one or more unavailable standby redo log groups","The broker detected that the standby database had one or more unavailable standby redo log groups.","Use Data Repair Advisor to determine which standby redo log groups are unavailable and how the log groups can be made available."
ORA-16836,"one or more system data files are missing","The broker detected that one or more system data files were missing.","Use Data Repair Advisor to determine which system data files are missing and how the files can be restored."
ORA-16837,"one or more system data files are corrupt","The broker detected that one or more system data files were corrupt.","Use Data Repair Advisor to determine which system data files are corrupt and how the files can be restored."
ORA-16838,"one or more system data files are offline","The broker detected that one or more system data files were offline.","Use Data Repair Advisor to determine which system data files are offline and how the files can be made online."
ORA-16839,"one or more user data files are missing","The broker detected that one or more user data files were missing.","Use Data Repair Advisor to determine which user data files are missing and how the files can be restored."
ORA-16840,"one or more user data files are corrupt","The broker detected that one or more user data files were corrupt.","Use Data Repair Advisor to determine which user data files are corrupt and how the files can be restored."
ORA-16841,"one or more user data files are offline","The broker detected that one or more user data files were offline.","Use Data Repair Advisor to determine which user data files are offline and how the files can be made online."
ORA-16842,"block corruptions detected","The broker detected block corruptions on this database.","Use Data Repair Advisor to determine which files are affected by block corruptions and how the files can be repaired."
ORA-16843,"errors discovered in diagnostic repository","The broker detected one or more errors in the Automatic Diagnostic Repository.","Use Data Repair Advisor to see the errors that were discovered and how they can be repaired."
ORA-16844,"redo transport mode incompatible with RedoSource property value","The standby database could not be set to receive redo data from another standby database or a far sync instance because the standby database LogXptMode property was not set to ASYNC.","Set the standby database LogXptMode property to ASYNC before setting its RedoSource property to a non-empty value. Or, set the standby database RedoSource property to the empty value before setting its LogXptMode property to a value other than ASYNC."
ORA-16845,"database specified by RedoSource property is disabled","An attempt was made to either set a database RedoSource property to the name of a database that was disabled or to enable a database whose RedoSource property was set to the name of a database that was disabled.","Enable the database specified by the RedoSource property and retry the command."
ORA-16846,"too many cascading levels","The value of the RedoSource property was not set to the name of either a far sync instance or a database that receives redo data directly from the primary database.","Set the RedoSource property to either a far sync instance or a database that receives redo data directly from the primary database."
ORA-16847,"a previous switchover from this database failed with error string","A previous switchover operation from this database failed.","Fix the underlying problem and reissue the switchover command again."
ORA-16848,"a previous switchover to this database failed with error string","A previous switchover operation to this database failed.","Fix the underlying problem and reissue the switchover command again."
ORA-16849,"a previous switchover from this database was interrupted and aborted","A previous switchover operation from this database was interrupted by the user. It may be caused by a hang.","Fix the underlying problem and reissue the switchover command again."
ORA-16850,"a previous switchover to this database was interrupted and aborted","A previous switchover operation to this database was interrupted by the user. It may be caused by a hang.","Fix the underlying problem and reissue the switchover command again."
ORA-16851,"a previous failover to this database failed with error string","A previous failover operation to this database failed.","Fix the underlying problem and reissue the failover command again."
ORA-16852,"a previous failover to this database was interrupted and aborted","A previous failover operation to this database was interrupted by the user. It may be caused by a hang.","Fix the underlying problem and reissue the failover command again."
ORA-16853,"apply lag has exceeded specified threshold","The current apply lag exceeded the value specified by the 'ApplyLagThreshold' database property. It may be caused either by a large transport lag or poor performance of apply services on the standby database.","Check for gaps on the standby database. If no gap is present, tune the apply services."
ORA-16854,"apply lag could not be determined","Apply lag could not be determined because either apply services were not running or there was no connectivity between the redo source and standby database.","Start apply services if they are not running. Also, ensure that there is network connectivity between the redo source and standby databases, and the redo source is sending redo data to the standby."
ORA-16855,"transport lag has exceeded specified threshold","The current transport lag exceeded the value specified by the 'TransportLagThreshold' database property. It is caused by either poor network performance between the redo source and the standby databases or a network disconnection.","Check the network connection between the redo source and standby databases. If they are connected, check the network performance between the redo source and the standby databases and tune it if necessary."
ORA-16856,"transport lag could not be determined","Transport lag could not be determined because there was no connectivity between the redo source and standby databases.","Ensure that there is network connectivity between the redo source and standby databases, and the redo source is working properly."
ORA-16857,"standby disconnected from redo source for longer than specified threshold","The amount of time the standby was disconnected from the redo source database exceeded the value specified by the 'TransportDisconnectedThreshold' database property. It is caused by no network connectivity between the redo source and the standby databases.","Ensure that there is network connectivity between the redo source and standby databases, and the redo source is working properly."
ORA-16858,"last communication time from redo source could not be determined","The standby database had never been contacted by the redo source.","Ensure that there is network connectivity between the redo source and standby databases, and the redo source is working properly."
ORA-16859,"request terminated because delete, disable, or failover operation is in progress","The broker terminated a request because it was processing a delete, disable, or failover operation.","Wait for the operation to complete and then retry the request."
ORA-16860,"invalid member specified as the fast-start failover target","The member specified as the fast-start failover target was either a far sync instance or snapshot standby database, or does not exist in the configuration.","Only a physical or logical standby database can be specified as a fast-start failover target. Check the database name and retry the command."
ORA-16861,"ExternalDestination property requires DB_UNIQUE_NAME attribute","The value specified for the ExternalDestination property did not contain the DB_UNIQUE_NAME attribute.","Ensure that DB_UNIQUE_NAME is specified as the value for the ExternalDestination property."
ORA-16862,"unsupported attribute specified for the ExternalDestination property","The value specified for the ExternalDestination property contained unsupported attributes.","Ensure that the value specified for the ExternalDestination property does not contain any of these attributes: LOCATION, ALTERNATE, MAX_FAILURE, SYNC, TEMPLATE, MANDATORY, DELAY, NET_TIMEOUT, and VALID_FOR."
ORA-16863,"A member whose MaxFailure property is set to zero cannot have an alternate destination.","A member was specified to have an alternate destination when its MaxFailure configurable property was set to zero.","Set the member's MaxFailure property to a nonzero value and retry the command."
ORA-16864,"The MaxFailure property cannot be set to zero for a member that has an alternate destination.","An attempt was made to set the MaxFailure configurable property to zero when it had an alternate destination specified.","Set the member's MaxFailure configurable property to a nonzero value."
ORA-16865,"database is closing or is not mounted on the instance","Broker health check was unable to complete because the database was closing or was not mounted on the instance.","No action is required if the database is closing. Mount the database if it is not yet mounted on the instance."
ORA-16900,"change of LogXptMode or RedoRoutes property violates overall protection mode","The broker did not allow the attempt to change the LogXptMode or RedoRoutes configurable property for the standby database or far sync instance because, if allowed, the overall protection mode for the configuration would have been violated.","If the LogXptMode or RedoRoutes configuration property must be changed for the specified standby database or far sync instance, first downgrade the overall protection mode for the broker configuration. After that operation has completed, the LogXptMode or RedoRoutes configuration property for the standby database can be changed."
ORA-16901,"inconsistent alternate destinations specified with RedoRoutes","The specification of alternates for the RedoRoutes property for a member was set inconsistently with respect to another member's RedoRoutes property.","Check the Oracle Data Guard broker log file for the reason for the failure and reissue the command. Ensure that the member's RedoRoutes alternate setting is set consistently with other member's RedoRoutes property."
ORA-16950,"Remote mapped cursors are not supported by this feature.","This cursor is a remote mapped cursor which could not be processed locally.","Try to process this statement directly on the remote site."
ORA-16951,"Too many bind variables supplied for this SQL statement.","Binding this SQL statement failed because too many bind variables were supplied.","Pass the correct number of bind variables."
ORA-16952,"Failed to bind this SQL statement.","Binding this SQL statement failed.","Check if bind variables for that statement are properly specified."
ORA-16953,"Type of SQL statement not supported.","This type of SQL statement could not be processed.","None"
ORA-16954,"SQL parse error.","The specified SQL statement failed to be parsed.","Check if syntax is correct and ensure that this statement can be parsed by the specified user name."
ORA-16955,"Unknown error during SQL analyze.","The specified SQL statement failed to be analyzed.","This is an internal error, please contact Oracle support."
ORA-16956,"Only SELECT or DML statements are supported for test execute.","The specified SQL statement cannot be tested for execute.","None"
ORA-16957,"SQL Analyze time limit interrupt","This is an internal error code used indicate that SQL analyze has reached its time limit.","None"
ORA-16958,"DML statements running parallel are not supported for test execute.","The specified DML statement cannot be tested for execute because part of it is running parallel.","None"
ORA-16959,"Statement type has been disabled for SQL Analyze","The system attempted to analyze a type of statement that was disabled by the current feature.","Try a different feature capable of analyzing this statement type."
ORA-16960,"SQL Analyze could not reproduce the desired plan.","SQL Analyze failed to reproduce a particular plan using an outline.","Check the outline data."
ORA-16961,"SQL statement with SQL patch is ignored","SQL statements with SQL patches are not supported by SQL tuning advisor.","Check the SQL patch information. Rerun SQL repair advisor on that SQL statement for a potential better SQL patch."
ORA-16962,"SQL statement attempted to begin an autonomous transaction","The SQL statement being analyzed attempted to begin an autonomous transaction, which is not supported.","Analyze another statement or remove the autonomous transaction from the current statement."
ORA-16963,"The given user or schema is not supported by this feature.","The SQL statement being analyzed had a parsing user or schema which is not currently supported for SQL Analyze.","Analyze another statement."
ORA-17500,"ODM err:string","An error returned by ODM library","Look at error message and take appropriate action or contact Oracle Support Services for further assistance"
ORA-17501,"logical block size string is invalid","logical block size for oracle files must be a multiple of the physical block size, and less than the maximum","check INIT.ORA file parameters"
ORA-17502,"ksfdcre:string Failed to create file string","file creation failed due to either insufficient OS permission or the file already exists","check additional error messages"
ORA-17503,"ksfdopn:string Failed to open file string","file open failed due to either insufficient OS permission or the name of file exceeds maximum file name length.","check additional error messages"
ORA-17504,"ksfddel:Failed to delete file string","The file that was being deleted is still in use or the process has insufficient permission to delete file.","check additional error messages"
ORA-17505,"ksfdrsz:string Failed to resize file to size string blocks","There is insufficient space left on the device or the process has insufficient permission to resize file.","check additional error messages"
ORA-17506,"I/O Error Simulation","The i/o request is marked with error because the i/o error simulation event is turned on.","None"
ORA-17507,"I/O request size string is not a multiple of logical block size","i/o's are done in multiple of logical block size","Check additional error messages"
ORA-17508,"I/O request buffer ptr is not alligned","i/o request buffer should be alligned, check additional information for buffer ptr value","Call Oracle Support Services"
ORA-17509,"Attempt to do i/o beyond block1 offset","When a file is identified with logical block size of 0, only i/o's to block1 is allowed.","check additional error messages and call Oracle Support Services"
ORA-17510,"Attempt to do i/o beyond file size","The i/o request points to a block beyond End Of File","check additional error messages and call Oracle Support Services"
ORA-17512,"Block Verification Failed","Block Verification after a read operation on a database file failed since the block is media corrupt.","check additional error messages in the trace file and call Oracle Support Services"
ORA-17513,"dNFS package call failed","An attempt was made to call a dNFS package in a non-dNFS environment","Make sure dNFS is enabled and the file can be accessed using dNFS."
ORA-17514,"Access to clonedb bitmap file failed","Accessing the bitmap block file in clonedb environment has encountered an error","check additional error messages in the trace file and call Oracle Support Services"
ORA-17515,"Creation of clonedb failed using snapshot file string","Creating a datafile in a clonedb environment failed.","Make sure the snapshot file passed to clonedb is not from another clonedb instance and call Oracle Support Services for further assistance"
ORA-17516,"dNFS asynchronous I/O failure","The asynchronous I/O request failed due to storage server reboot.","Make sure the storage server does not reboot repeatedly during database operations."
ORA-17517,"Database cloning using storage snapshot failed on file string:string","An invocation of the storage clone command was returned with an error.","Make sure all necessary steps are performed for storage cloning and check the Oracle trace file for additional information."
ORA-17518,"backup file string cannot be found","Access to the specified backup file was required for Instant Restore.","Make sure the path and file name are correct for the backup file and the path to the backup file can be accessed from the node of the instance."
ORA-17519,"Reason(string): data file string cannot be prepared","The snapshot layer could not prepare the specified data file.","Make sure the file does not already exist, is already part of a clone setup, or is being repopulated by an Instant Restore background process. Make sure the path specified is accessable and writable by the instance."
ORA-17520,"data file string cannot be added to repopulation","Instant Restore could not add the file to the repopulation work queue.","The repopulation process may be working on too many files for the system. Try waiting for some files to complete and try again."
ORA-17521,"Instant Restore is not enabled","The initialization parameters for Instant Restore were not set.","Make sure Instant Restore initialization parameter is set as required for this feature."
ORA-17522,"file string is already being repopulated","The file is currently being repopulated from a previous restore.","Make sure the file compeletes restore before you start another restore."
ORA-17523,"Instance number cannot spawn repopulation (RPOP) process","Instance may have too many running processes.","Make sure maxmimum number of processes initialization parameter is set properly for this feature."
ORA-17524,"Repopulation cannot take place - no RPOP processes","Maxmimum processes initialization parameter may not be set properly.","Make sure maxmimum number of processes initialization parameter is set properly for this feature. check alert log for other related errors."
ORA-17525,"Database clone using storage snapshot not supported on file string","Cloning a database using storage level snapshot is not supported on the underlying storage.","Use storage product that has snapshot based cloning support for Oracle."
ORA-17526,"Block size of file string is too small string. Must be >= string.","Files with block sizes smaller than a minimum size cannot be used for clones backed by snapshot file.","Use files with larger block size."
ORA-17527,"Creation of a snapshot failed because the destination string was not a sparse disk group.","Creating a snapshot failed because the destination disk group was not sparse.","Make sure the 'create_file_dest' clause passed to the snapshot copy is in a sparse disk group."
ORA-17528,"cannot write to file string opened for read","The file is read-only or was opened read-only and an attempt was made to write to the file, or there was an internal error.","If the file is a parent of a napshot, then you cannot open read/write, drop or unplug the database. Otherwise, look at trace file and contact Oracle Support Services."
ORA-17610,"file 'string' does not exist and no size specified","An attempt to create a file found neither an existing file nor a size for creating the file.","Specify a size for the file."
ORA-17611,"ksfd: file 'string' cannot be accessed, global open closed","An attempt to write to a file which has gone offline/unidentified","Check for other errno in the stack"
ORA-17612,"Failed to discover Oracle Disk Manager library, return value string","Discovery of the odm library by calling odm_discover() failed","Contact your storage vendor who has provided the ODM library or call Oracle Support"
ORA-17613,"Failed to initialize Oracle Disk Manager library: string","ODM initialization for the thread failed due to insufficient previlige or memory.","Make sure there is enough system resources available for the oracle process and it has access to the ODM library"
ORA-17618,"Unable to update block 0 to version 10 format","An attempt was made to update block 0 to version 10 format.","Check additional error messages and call Oracle Support Services"
ORA-17619,"max number of processes using I/O slaves in a instance reached","An attempt was made to start large number of processes requiring I/O slaves.","There can be a maximum of 35 processes that can have I/O slaves at any given time in a instance."
ORA-17620,"failed to register the network adapter with Oracle Disk Manager library: string","The ODM library returned an error while trying to register the network adapter.","Make sure the network adapter name given in the fileio_network_ adapters is a valid name, and that the Oracle user has the correct access privileges."
ORA-17621,"failed to register the memory with Oracle Disk Manager library","The ODM library returned an error while trying to register the memory.","Contact the Oracle Disk Manager Library provider."
ORA-17622,"failed to deregister the memory with Oracle Disk Manager library","The ODM library returned an error while trying to deregister the memory.","Contact the Oracle Disk Manager Library provider"
ORA-17624,"Failed to delete directory string","The directory that was being deleted is still in use or the process had insufficient permission to delete the directory.","check additional error messages."
ORA-17626,"ksfdcre: string file exists","trying to create a database file, but file by that name already exists","verify that name is correct, specify REUSE if necessary"
ORA-17627,"string","An error returned by OCI while sending/receiving message from remote instance","Look at error message and take appropriate action or contact Oracle Support Services for further assistance"
ORA-17628,"Oracle error string returned by remote Oracle server","Oracle server on the remote instance has returned an error.","Look at remote instance alert log/trace file for more information and take appropriate action or contact Oracle Support Services for further assistance"
ORA-17629,"Cannot connect to the remote database server","Connecting to the remote server specified by database connect string for netowrk file transfer failed.","Check additional error messages"
ORA-17630,"Mismatch in the remote file protocol version client string server string","Cannot communicate with the remote database server as there is a mismatch in the Oracle file protocol version.","Check additional error messages"
ORA-17631,"dbname 'string' specified by remote server does not match the instance name 'string'","The dbname specified by the remote server is not intended for this instance.","Check the dbname specified in the command of the remote instance and look for further error messages."
ORA-17632,"file 'string' is a formatted ASM disk","An attempt to create a datafile on a device that was formatted for ASM disk failed.","Check that the device specified is not an ASM disk. If you would like to use the disk for datafiles, please clear the disk before you retry the operation."
ORA-17633,"Operation not supported as one of the servers involved is not capable of performing the requested operation","An attempt was made to perform an operation involving two Oracle servers where both servers did not have the capability required for carrying out the operation. It is likely that one of the servers needs a patch or an upgrade to successfully participate in the operation.","Apply the required fix or update on the lower version server. Contact Oracle Support Services for further assistance."
ORA-17634,"network file transfer operation aborted","An error occurred during network file transfer operation.","Check addtional error messages."
ORA-17635,"failure in obtaining physical sector size for 'string'","An error occurred while determining the physical sector size from the underlying storage (ASM/ODM/OSD).","Check additional error messages."
ORA-17636,"Invalid sparse block format (string). Start block=string. Error=string. File=string","An error occurred while reading the block on sparse media.","Contact Oracle Support Services."
ORA-17676,"Failed to mount 'string' with error:'string'","Mounting database file system failed with an error.","Check additional error messages in the trace file."
ORA-17677,"failed to unmount 'string' with error:'string'","Unmounting database file system failed with an error.","Check additional error messages in the trace file."
ORA-18000,"invalid outline name","The parser detected a missing or invalid outline name","None"
ORA-18001,"no options specified for ALTER OUTLINE","The parser detected that no clause was specified on the command Our performance tests, which are not typical as they exercise all branches of the code, have shown approximately a 30% performance increase line for ALTER OUTLINE.","Re-issue the command, specifying a valid ALTER OUTLINE clause."
ORA-18002,"the specified outline does not exist","Either the outline did not exist to begin with, or a timing window allowed for another thread to drop or alter the outline midstream.","None"
ORA-18003,"an outline already exists with this signature","The signature generation algorithm generates signatures that are are 16 bytes in length so it is highly unlikely that any 2 signatures will be identical. This message is raised in such a rare case.","Either re-issue the statement that led to the outline being created with some whitespace added or force the outline to be created in a different category."
ORA-18004,"outline already exists","An outline already exists, either with the specified name, or for the specified SQL text.","None"
ORA-18008,"cannot find OUTLN schema","The database creation script that creates this schema must not have been executed.","Review the log files to see what happened when the database was created."
ORA-18009,"one or more outline system tables do not exist","Either the database creation script that creates these tables was not executed or a user accidently deleted the table","Review the log files to see what happened when the database was created."
ORA-18010,"command missing mandatory CATEGORY keyword","User failed to specify the CATEGORY keyword","Re-issue the command with the CATEGORY keyword included"
ORA-18015,"invalid source outline signature","User imported an 8i outline into a 9i database without updating signatures","execute dbms_outln.update_signatures"
ORA-18100,"XUST0001 - Updating expression in a wrong position","An updating expression was used in a position other than one of the following: - The topmost expression in the body of a query. - The MODIFY clause of a TRANSFORM expression. - The RETURN clause of a FLWOR expression. - The RETURN clauses of a TYPESWITCH expression in which every RETURN clause contains an updating expression, an empty expression ( ), or a call to the fn:error function. - The THEN and ELSE clauses of a conditional statement in which both the then and else clauses contain either an updating expression, an empty expression ( ), or a call to the fn:error function. - An operand of a comma expression in which each operand is either an updating expression, an empty expression ( ), or a call to the fn:error function. - The content of a parenthesized expression. - The body of a function declaration in which the keyword UPDATING is specified.","None"
ORA-18101,"XUST0002 - Non-updating expression in a wrong position","A non-updating expression other than an empty expression ( ) or a call to the fn:error function was used in one of the following positions: - The MODIFY clause of a TRANSFORM expression. - The top-level expression in the body of a function declaration in which the keyword UPDATING is specified.","None"
ORA-18102,"XUST0003 - Repeated revalidation declaration","Prolog contained more than one revalidation declaration.","None"
ORA-18103,"XUTY0004 - Invalid attribute node in the insertion sequence","The insertion sequence of an INSERT expression contained an attribute following a node that was not an attribute node.","None"
ORA-18104,"XUTY0005 - Invalid target expression for INSERT","In an INSERT expression where INTO, AS FIRST INTO, or AS LAST INTO was specified, the target expression returned a nonempty result that did not consist of a single element or document node.","None"
ORA-18105,"XUTY0006 - Invalid target expression for INSERT","In an INSERT expression where BEFORE or AFTER was specified, the target expression returned a nonempty result that did not consist element, text, comment, or processing instruction node.","None"
ORA-18106,"XUTY0007 - Invalid target expression for DELETE","The target expression of a DELETE expression did not return a sequence of zero or more nodes.","None"
ORA-18107,"XUTY0008 - Invalid target expression for REPLACE","In a REPLACE expression, the target expression returned a nonempty result that did not consist of a single element, attribute, text,","None"
ORA-18108,"XUDY0009 - Invalid target expression for REPLACE","In a REPLACE expression where VALUE OF was not specified, the node returned by the target expression did not have a parent.","None"
ORA-18109,"XUTY0010 - Invalid replacement sequence for REPLACE","In a REPLACE expression where VALUE OF was not specified and the target was an element, text, comment, or processing instruction node, the replacement sequence did not consist of zero or more element, text, comment, or processing instruction nodes.","None"
ORA-18110,"XUTY0011 - Invalid replacement sequence for REPLACE","In a REPLACE expression where VALUE OF was not specified and the target is an attribute node, the replacement sequence did not consist of zero or more attribute nodes.","None"
ORA-18111,"XUTY0012 - Invalid target expression for RENAME","In a RENAME expression, the target expression returned a nonempty result that did not consist of a single element, attribute, or processing instruction node.","None"
ORA-18112,"XUTY0013 - Invalid COPY expression for TRANSFORM","In a TRANSFORM expression, a source expression in the copy clause did not return a single node.","None"
ORA-18113,"XUDY0014 - Modified node was not created by the COPY clause","In a TRANSFORM expression, the MODIFY clause modified a node that was not created by the COPY clause.","None"
ORA-18114,"XUDY0015 - Duplicate RENAME for the same target node","A node was the target of more than one RENAME expression within the same query.","None"
ORA-18115,"XUDY0016 - Duplicate REPLACE for the same target node","A node was the target of more than one REPLACE expression (without VALUE OF being specified) within the same query.","None"
ORA-18116,"XUDY0017 - Duplicate REPLACE for the same target node","A node was the target of more than one REPLACE VALUE OF expression within the same query.","None"
ORA-18117,"XUDY0018 - External not updating function returns an updated value","A function that was declared to be external but not updating returned a nonempty pending update list.","None"
ORA-18118,"XUDY0019 - External updating function returns an invalid value","A function that was declared to be both external and updating returned a nonempty data model instance.","None"
ORA-18119,"XUDY0020 - Deleted node has no parent","Node was deleted that had no parent before execution of the query began.","None"
ORA-18120,"XUDY0021 - The result XDM instance violates XDM constraints","XDM instance resulting from applying all the updates in a query violated constraint specified in [XQuery/XPath Data Model (XDM)]. In this case, none of the updates in the query were made effective.","None"
ORA-18121,"XUTY0022 - Invalid attribute insertion into a document node","INSERT expression specified the insertion of an attribute node into a document node.","None"
ORA-18122,"XUDY0023 - Updating expression introduces a namespace conflict","An INSERT, REPLACE, or RENAME expression affected an element node by introducing a new namespace binding that conflicted with one of its existing namespace bindings.","None"
ORA-18123,"XUDY0024 - Updating expression introduces a namespace conflict","Effect of a set of updating expressions introduced conflicting namespace bindings into an element node.","None"
ORA-18124,"XUDY0025 - Invalid QName for processing instruction RENAME","Target of a RENAME expression was a processing instruction node, and the new name expression returned a QName with a nonempty namespace prefix.","None"
ORA-18125,"XUST0026 Revalidation mode string is not supported","Revalidation declaration in a Prolog specified a revalidation mode that is not supported by the current implementation.","None"
ORA-18126,"XUDY0027 - Invalid target expression","Target expression of an INSERT, REPLACE, or RENAME expression evaluated to an empty sequence.","None"
